index,question,db_id,predicted_sql,reference_sql,predicted_sql_valid,reference_sql_valid,predicted_mongodb_query,reference_mongodb_query,reference_translation_success,mongodb_warnings,mongodb_success,exact_match,syntax_valid,structural_match,token_f1
0,How many singers do we have?,concert_singer,Singer_in_concert,SELECT count(*) FROM singer,False,True,"db.collection.find(
  {}
)","db.singer.aggregate(
[
  {
    ""$group"": {
      ""_id"": null,
      ""count"": {
        ""$sum"": 1
      }
    }
  }
]
)",True,,True,False,True,False,0.16666666666666666
1,What is the total number of singers?,concert_singer,Singer_in_concert,SELECT count(*) FROM singer,False,True,"db.collection.find(
  {}
)","db.singer.aggregate(
[
  {
    ""$group"": {
      ""_id"": null,
      ""count"": {
        ""$sum"": 1
      }
    }
  }
]
)",True,,True,False,True,False,0.16666666666666666
2,"Show name, country, age for all singers ordered by age from the oldest to the youngest.",concert_singer,singer_in_concert,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",False,True,"db.collection.find(
  {}
)","db.singer.find(
  {},
  { name: 1, country: 1, age: 1 }
).sort({ ""age"": -1 })",True,,True,False,True,False,0.36363636363636365
3,"What are the names, countries, and ages for every singer in descending order of age?",concert_singer,singer_in_concert,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",False,True,"db.collection.find(
  {}
)","db.singer.find(
  {},
  { name: 1, country: 1, age: 1 }
).sort({ ""age"": -1 })",True,,True,False,True,False,0.36363636363636365
4,"What is the average, minimum, and maximum age of all singers from France?",concert_singer,"Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",False,True,"db.collection.find(
  {}
)","db.singer.aggregate(
[
  {
    ""$match"": {
      ""country"": ""France""
    }
  },
  {
    ""$group"": {
      ""_id"": null,
      ""avg"": {
        ""$avg"": ""$age""
      },
      ""min"": {
        ""$min"": ""$age""
      },
      ""max"": {
        ""$max"": ""$age""
      }
    }
  }
]
)",True,,True,False,True,False,0.125
5,"What is the average, minimum, and maximum age for all French singers?",concert_singer,Singer_in_concert,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",False,True,"db.collection.find(
  {}
)","db.singer.aggregate(
[
  {
    ""$match"": {
      ""country"": ""France""
    }
  },
  {
    ""$group"": {
      ""_id"": null,
      ""avg"": {
        ""$avg"": ""$age""
      },
      ""min"": {
        ""$min"": ""$age""
      },
      ""max"": {
        ""$max"": ""$age""
      }
    }
  }
]
)",True,,True,False,True,False,0.125
6,Show the name and the release year of the song by the youngest singer.,concert_singer,Song_release_year number,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",False,True,"db.collection.find(
  {}
)","db.singer.find(
  {},
  { song_name: 1, song_release_year: 1 }
).sort({ ""age"": 1 }).limit(1)",True,,True,False,True,False,0.3333333333333333
7,What are the names and release years for all the songs of the youngest singer?,concert_singer,"Country number, Song_Name number, Song_release_year number, Is_male number","SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",False,True,"db.collection.find(
  {}
)","db.singer.find(
  {},
  { song_name: 1, song_release_year: 1 }
).sort({ ""age"": 1 }).limit(1)",True,,True,False,True,False,0.3333333333333333
8,What are all distinct countries where singers above age 20 are from?,concert_singer,"Country number, Song_Name number, Song_release_year number, Is_male number",SELECT DISTINCT country FROM singer WHERE age  >  20,False,True,"db.collection.find(
  {}
)","db.singer.distinct(
  ""country"",
  { age: { $gt: 20 } }
)",True,,True,False,True,False,0.2
9,What are  the different countries with singers above age 20?,concert_singer,Singer_in_concert,SELECT DISTINCT country FROM singer WHERE age  >  20,False,True,"db.collection.find(
  {}
)","db.singer.distinct(
  ""country"",
  { age: { $gt: 20 } }
)",True,,True,False,True,False,0.2
