index,question,prompt,raw_output,predicted_sql,predicted_sql_valid,ground_truth,qwen_sql_correct,qwen_raw_response
0,How many singers do we have?,"The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
How many singers do we have?

SQL:",not_duplicate,,False,SELECT count(*) FROM singer,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
1,What is the total number of singers?,"The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the total number of singers?

SQL:",not_duplicate,,False,SELECT count(*) FROM singer,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
2,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
Show name, country, age for all singers ordered by age from the oldest to the youngest.

SQL:","Table singer(Singer_ID number, Name number, Country number, Song_name_year number, Is_male number) Question: Show name, country, age for all singers ordered by age.",,False,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
3,"What are the names, countries, and ages for every singer in descending order of age?","The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are the names, countries, and ages for every singer in descending order of age?

SQL:",not_duplicate,,False,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
4,"What is the average, minimum, and maximum age of all singers from France?","The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the average, minimum, and maximum age of all singers from France?

SQL:",not_duplicate,,False,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
5,"What is the average, minimum, and maximum age for all French singers?","The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the average, minimum, and maximum age for all French singers?

SQL:",False,,False,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
6,Show the name and the release year of the song by the youngest singer.,"The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
Show the name and the release year of the song by the youngest singer.

SQL:",Question: Show the name and the release year of the song by the oldest singer.,,False,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
7,What are the names and release years for all the songs of the youngest singer?,"The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are the names and release years for all the songs of the youngest singer?

SQL:",not_duplicate,,False,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
8,What are all distinct countries where singers above age 20 are from?,"The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are all distinct countries where singers above age 20 are from?

SQL:",not_duplicate,,False,SELECT DISTINCT country FROM singer WHERE age  >  20,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
9,What are  the different countries with singers above age 20?,"The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are  the different countries with singers above age 20?

SQL:",not_duplicate,,False,SELECT DISTINCT country FROM singer WHERE age  >  20,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
