index,question,prompt,raw_output,predicted_sql,predicted_sql_valid,ground_truth,qwen_sql_correct,qwen_raw_response
0,What is the highest eligible free rate for K-12 students in the schools in Alameda County?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`

Question:
What is the highest eligible free rate for K-12 students in the schools in Alameda County?

SQL:",SELECT MAX(`Free Meal Count (K-12)` / `Enrollment (K-12)`) FROM `california_schools` WHERE `County` = 'Alameda' AND `State` = 'CA' AND `School Type` = 'K-12' AND `School District` = 'Alameda' AND `School Name` = 'Alameda County' AND `School Type` = 'K-12' AND `School District` = 'Alameda' AND `School Name` = 'Alameda County' AND `School Type` = 'K-12' AND `School District` = 'Alameda' AND `School Name` = 'Alameda County' AND `School Type` = 'K-12' AND `School District` = 'Alameda' AND `School Name` = 'Alameda County' AND `School Type` = 'K-12' AND `School District` = 'Alameda' AND `School Name` = 'Alameda County' AND `School Type` = 'K-12' AND `School District` = 'Alameda' AND `School Name` = 'Alameda County' AND `School Type` = 'K-12,SELECT MAX(`Free Meal Count (K-12)` / `Enrollment (K-12)`) FROM `california_schools` WHERE `County` = 'Alameda' AND `State` = 'CA' AND `School Type` = 'K-12' AND `School District` = 'Alameda' AND `School Name` = 'Alameda County' AND `School Type` = 'K-12' AND `School District` = 'Alameda' AND `School Name` = 'Alameda County' AND `School Type` = 'K-12' AND `School District` = 'Alameda' AND `School Name` = 'Alameda County' AND `School Type` = 'K-12' AND `School District` = 'Alameda' AND `School Name` = 'Alameda County' AND `School Type` = 'K-12' AND `School District` = 'Alameda' AND `School Name` = 'Alameda County' AND `School Type` = 'K-12' AND `School District` = 'Alameda' AND `School Name` = 'Alameda County' AND `School Type` = 'K-12,True,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['california_schools'], ground_truth=['frpm']"
1,Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`

Question:
Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.

SQL:",SELECT * FROM california_schools WHERE Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ORDER BY Free Meal Count (Ages 5-17) DESC LIMIT 3;,SELECT * FROM california_schools WHERE Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ORDER BY Free Meal Count (Ages 5-17) DESC LIMIT 3;,True,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['california_schools'], ground_truth=['frpm']"
2,Please list the zip code of all the charter schools in Fresno County Office of Education.,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the table fprm

Question:
Please list the zip code of all the charter schools in Fresno County Office of Education.

SQL:",SELECT zip_code FROM charter_schools WHERE charter_schools.charter_school = 1 AND fprm.office = 'Fresno County Office of Education',SELECT zip_code FROM charter_schools WHERE charter_schools.charter_school = 1 AND fprm.office = 'Fresno County Office of Education',True,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['charter_schools'], ground_truth=['frpm', 'schools']"
3,What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools

Question:
What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?

SQL:",SELECT unabbreviated_mailing_street_address FROM schools WHERE FRPM = (SELECT MAX(FRPM) FROM schools),SELECT unabbreviated_mailing_street_address FROM schools WHERE FRPM = (SELECT MAX(FRPM) FROM schools),True,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,False,"{
  ""sql_correct"": false,
  ""reason"": ""The predicted SQL uses different tables and columns, while the ground truth SQL uses the same tables and columns.""
}"
4,Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the frpm

Question:
Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.

SQL:",SELECT phone_number FROM schools WHERE year_of_founding > 2000 AND year_of_founding < 2001 AND charter_school = 1;,SELECT phone_number FROM schools WHERE year_of_founding > 2000 AND year_of_founding < 2001 AND charter_school = 1;,True,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',True,"{
  ""sql_correct"": true,
  ""reason"": ""The predicted SQL query uses the same base table (`schools`) and column (`phone_number`), filters (`year_of_founding > 2000 AND year_of_founding < 2001 AND charter_school = 1`), and joins it with another table (`frpm`). The ground truth SQL query also uses the same base table and column but has different conditions for filtering and joining.""
}"
5,How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Exclusively virtual refers to Virtual = 'F'

Question:
How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?

SQL:","SELECT COUNT(*) FROM schools WHERE avg_score > 400 AND virtual = 'F';
Output:",SELECT COUNT(*) FROM schools WHERE avg_score > 400 AND virtual = 'F';,True,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,True,"{
  ""sql_correct"": true,
  ""reason"": ""The predicted SQL uses different tables and columns, different conditions, and different aggregation functions compared to the ground truth SQL.""
}"
6,"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.","Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Magnet schools or offer a magnet program means that Magnet = 1

Question:
Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.

SQL:",SELECT * FROM california_schools WHERE SAT > 500 AND Magnet = 1;,SELECT * FROM california_schools WHERE SAT > 500 AND Magnet = 1;,True,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['california_schools'], ground_truth=['satscores', 'schools']"
7,What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools

Question:
What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?

SQL:",SELECT phone_number FROM schools WHERE test_takers > 1000 AND SAT_score > 1500 ORDER BY test_takers DESC LIMIT 1;,SELECT phone_number FROM schools WHERE test_takers > 1000 AND SAT_score > 1500 ORDER BY test_takers DESC LIMIT 1;,True,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,False,"{
  ""sql_correct"": false,
  ""reason"": ""The predicted SQL uses different tables and columns, different filtering conditions, different aggregation functions, different order by clause, and different limit clause compared to the ground truth SQL.""
}"
8,What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools

Question:
What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?

SQL:","SELECT COUNT(*) FROM schools WHERE FRPM = (SELECT MAX(FRPM) FROM schools);
Output:",SELECT COUNT(*) FROM schools WHERE FRPM = (SELECT MAX(FRPM) FROM schools);,True,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['schools'], ground_truth=['frpm', 'satscores']"
9,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?","Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools

Question:
Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?

SQL:","SELECT COUNT(*) FROM schools WHERE math_avg_score > 560 AND charter_funded = 1;
```",SELECT COUNT(*) FROM schools WHERE math_avg_score > 560 AND charter_funded = 1;,True,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['schools'], ground_truth=['frpm', 'satscores']"
