index,question,schema,db_id,db_path,prompt,raw_output,predicted_sql,ground_truth,qwen_sql_correct,qwen_reason,qwen_raw_response
0,How many singers do we have?,"Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
How many singers do we have?

Generate SQL query.","*/

func main() {
	// Create a new database connection
	db, err := sql.Open(""sqlite3"", "":memory:"")
	if err != nil {
		panic(err)
	}

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)"")

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)"")

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS concert(Concert_ID text, Concert_Name text, Theme text, Stadium_ID text, Year text)"")

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS singer_in_concert(Concert_ID text)"")

	// Create a new database table
	db.Exec(""INS",*/,SELECT count(*) FROM singer,True,The generated SQL query correctly counts the number of singers in the database.,"{
  ""sql_correct"": true,
  ""reason"": ""The generated SQL query correctly counts the number of singers in the database.""
}"
1,What is the total number of singers?,"Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the total number of singers?

Generate SQL query.","*/

func main() {
	// Create a new database connection
	db, err := sql.Open(""sqlite3"", "":memory:"")
	if err != nil {
		panic(err)
	}

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)"")

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)"")

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS concert(Concert_ID text, Concert_Name text, Theme text, Stadium_ID text, Year text)"")

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS singer_in_concert(Concert_ID text)"")

	// Create a new database table
	db.Exec(""INS",*/,SELECT count(*) FROM singer,True,The generated SQL query correctly counts the number of singers in the database.,"{
  ""sql_correct"": true,
  ""reason"": ""The generated SQL query correctly counts the number of singers in the database.""
}"
2,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
Show name, country, age for all singers ordered by age from the oldest to the youngest.

Generate SQL query.","For example:

SELECT name, country, age FROM stadium
WHERE name = 'John Doe'
AND country = 'USA'
AND age = 20

The above query will return the following SQL:

SELECT name, country, age FROM stadium
WHERE name = 'John Doe'
AND country = 'USA'
AND age = 20

The above query will return the following SQL:

SELECT name, country, age FROM stadium
WHERE name = 'John Doe'
AND country = 'USA'
AND age = 20

The above query will return the following SQL:

SELECT name, country, age FROM stadium
WHERE name = 'John Doe'
AND country = 'USA'
AND age = 20

The above query will return the following SQL:

SELECT name, country, age FROM stadium
WHERE name = 'John Doe'
AND country = 'USA'
AND age = 20

The above query will return the following SQL:

SELECT name, country, age FROM stadium
WHERE name = 'John Doe'
AND country = 'USA'
AND age = 20

The above query will return the following SQL:

SELECT name,","SELECT name, country, age FROM stadium","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",True,The generated SQL query matches the expected SQL structure.,"{
  ""sql_correct"": true,
  ""reason"": ""The generated SQL query matches the expected SQL structure.""
}"
3,"What are the names, countries, and ages for every singer in descending order of age?","Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are the names, countries, and ages for every singer in descending order of age?

Generate SQL query.","*/

func main() {
	// Create a new database connection
	db, err := sql.Open(""sqlite3"", "":memory:"")
	if err != nil {
		panic(err)
	}

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)"")

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)"")

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS concert(Concert_ID text, Concert_Name text, Theme text, Stadium_ID text, Year text)"")

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS singer_in_concert(Singer_ID text)"")

	// Create a new database table
	db.Exec(""INS",*/,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",True,The generated SQL query correctly answers the natural language question and is semantically equivalent to the given SQL.,"{
  ""sql_correct"": true,
  ""reason"": ""The generated SQL query correctly answers the natural language question and is semantically equivalent to the given SQL.""
}"
4,"What is the average, minimum, and maximum age of all singers from France?","Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the average, minimum, and maximum age of all singers from France?

Generate SQL query.","*/

func main() {
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query.
	// Generate SQL query",*/,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",True,"The generated SQL query correctly calculates the average, minimum, and maximum ages of all singers from France.","{
  ""sql_correct"": true,
  ""reason"": ""The generated SQL query correctly calculates the average, minimum, and maximum ages of all singers from France.""
}"
5,"What is the average, minimum, and maximum age for all French singers?","Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the average, minimum, and maximum age for all French singers?

Generate SQL query.","*/

func main() {
	// Create a new database connection
	db, err := sql.Open(""sqlite3"", ""./data/database.db"")
	if err != nil {
		panic(err)
	}

	// Create a new table
	stadium := &sql.Stmt{
		Table: ""stadium"",
		Name: ""stadium"",
		Columns: []string{
			""ID"",
			""Name"",
			""Capacity"",
			""Highest"",
			""Lowest"",
			""Average"",
		},
	}

	// Create a new table
	singer := &sql.Stmt{
		Table: ""singer"",
		Name: ""singer"",
		Columns: []string{
			""ID"",
			""Name"",
			""Country"",
			""Song_Name"",
			""Song_release_year"",
			""Age"",
			""Is_male"",
		},
	}

	// Create a new table
	concert := &sql.Stmt{
		Table: ""concert"",
		Name: """,*/,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",False,The generated SQL query does not match the expected SQL query.,"{
  ""sql_correct"": false,
  ""reason"": ""The generated SQL query does not match the expected SQL query.""
}"
6,Show the name and the release year of the song by the youngest singer.,"Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
Show the name and the release year of the song by the youngest singer.

Generate SQL query.","Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.

Create table.",Create table.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",True,The generated SQL query correctly answers the natural language question and is semantically equivalent to the given SQL schema.,"{
  ""sql_correct"": true,
  ""reason"": ""The generated SQL query correctly answers the natural language question and is semantically equivalent to the given SQL schema.""
}"
7,What are the names and release years for all the songs of the youngest singer?,"Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are the names and release years for all the songs of the youngest singer?

Generate SQL query.","*/

func main() {
	// Create a new database connection
	db, err := sql.Open(""sqlite3"", "":memory:"")
	if err != nil {
		panic(err)
	}

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)"")

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)"")

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS concert(Concert_ID text, Concert_Name text, Theme text, Stadium_ID text, Year text)"")

	// Create a new database table
	db.Exec(""CREATE TABLE IF NOT EXISTS singer_in_concert(Singer_ID text)"")

	// Create a new database table
	db.Exec(""INS",*/,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",True,The generated SQL query correctly selects the names and release years of the youngest singer from the `singer` table.,"{
  ""sql_correct"": true,
  ""reason"": ""The generated SQL query correctly selects the names and release years of the youngest singer from the `singer` table.""
}"
8,What are all distinct countries where singers above age 20 are from?,"Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are all distinct countries where singers above age 20 are from?

Generate SQL query.","*/

func main() {
	// Create a database connection
	db, err := sql.Open(""sqlite3"", ""./data/db.db"")
	if err != nil {
		panic(err)
	}

	// Create a table
	db.Exec(""CREATE TABLE IF NOT EXISTS stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)"")

	// Create a table
	db.Exec(""CREATE TABLE IF NOT EXISTS singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)"")

	// Create a table
	db.Exec(""CREATE TABLE IF NOT EXISTS concert(Concert_ID text, Concert_Name text, Theme text, Stadium_ID text, Year text)"")

	// Create a table
	db.Exec(""CREATE TABLE IF NOT EXISTS singer_in_concert(Concerto_ID text)"")

	// Create a table
	db.Exec(""CREATE TABLE IF NOT EXISTS",*/,SELECT DISTINCT country FROM singer WHERE age  >  20,True,The generated SQL query correctly identifies all distinct countries where singers aged 20 or older are from.,"```json
{
  ""sql_correct"": true,
  ""reason"": ""The generated SQL query correctly identifies all distinct countries where singers aged 20 or older are from.""
}
```"
9,What are  the different countries with singers above age 20?,"Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are  the different countries with singers above age 20?

Generate SQL query.","*/

func main() {
	// Create a database connection
	db, err := sql.Open(""sqlite3"", ""./data/db.db"")
	if err != nil {
		panic(err)
	}

	// Create a table
	db.Exec(""CREATE TABLE IF NOT EXISTS stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)"")

	// Create a table
	db.Exec(""CREATE TABLE IF NOT EXISTS singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)"")

	// Create a table
	db.Exec(""CREATE TABLE IF NOT EXISTS concert(Concert_ID text, Concert_Name text, Theme text, Stadium_ID text, Year text)"")

	// Create a table
	db.Exec(""CREATE TABLE IF NOT EXISTS singer_in_concert(Concerto_ID text)"")

	// Create a table
	db.Exec(""INSERT INTO stadium VALUES('1",*/,SELECT DISTINCT country FROM singer WHERE age  >  20,True,The generated SQL query correctly identifies the different countries with singers above age 20.,"```json
{
  ""sql_correct"": true,
  ""reason"": ""The generated SQL query correctly identifies the different countries with singers above age 20.""
}
```"
