index,question,prompt,raw_output,predicted_sql,predicted_sql_valid,ground_truth,qwen_sql_correct,qwen_raw_response
0,What is the highest eligible free rate for K-12 students in the schools in Alameda County?,"The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Database: california_schools
Evidence: Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`

Question:
What is the highest eligible free rate for K-12 students in the schools in Alameda County?

SQL:",False,,False,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
1,Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.,"The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Database: california_schools
Evidence: Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`

Question:
Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.

SQL:",not_duplicate,,False,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
2,Please list the zip code of all the charter schools in Fresno County Office of Education.,"The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the table fprm

Question:
Please list the zip code of all the charter schools in Fresno County Office of Education.

SQL:",False,,False,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
3,What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,"The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Database: california_schools

Question:
What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?

SQL:",False,,False,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
4,Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.,"The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the frpm

Question:
Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.

SQL:",not_duplicate,,False,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
5,How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?,"The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Database: california_schools
Evidence: Exclusively virtual refers to Virtual = 'F'

Question:
How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?

SQL:",not_duplicate,,False,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
6,"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.","The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Database: california_schools
Evidence: Magnet schools or offer a magnet program means that Magnet = 1

Question:
Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.

SQL:",False,,False,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
7,What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?,"The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Database: california_schools

Question:
What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?

SQL:",False,,False,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
8,What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?,"The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Database: california_schools

Question:
What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?

SQL:",False,,False,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
9,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?","The database tables already exist. Do not create or modify tables.
Write only a single SQL SELECT query to answer the question.
Do not execute the query or show its results. Output the SQL query only—no ""Output"" section, explanations, Python/C++ code, or any other text after the query.

Schema:
Database: california_schools

Question:
Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?

SQL:",False,,False,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
