index,question,schema,db_id,db_path,prompt,raw_output,predicted_sql,ground_truth,exact_match,syntax_valid,execution_match
0,What is the highest eligible free rate for K-12 students in the schools in Alameda County?,"Database: california_schools
Evidence: Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`",california_schools,/Volumes/Work/CodeGen-Implementations-May_26/data/bird/bird_data/dev_databases/california_schools/california_schools.sqlite,"Schema:
Database: california_schools
Evidence: Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`

Question:
What is the highest eligible free rate for K-12 students in the schools in Alameda County?

Generate SQL query.",Alameda County,Alameda County,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,False,False,False
1,Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.,"Database: california_schools
Evidence: Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`",california_schools,/Volumes/Work/CodeGen-Implementations-May_26/data/bird/bird_data/dev_databases/california_schools/california_schools.sqlite,"Schema:
Database: california_schools
Evidence: Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`

Question:
Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.

Generate SQL query.",california_schools,california_schools,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,False,False,False
2,Please list the zip code of all the charter schools in Fresno County Office of Education.,"Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the table fprm",california_schools,/Volumes/Work/CodeGen-Implementations-May_26/data/bird/bird_data/dev_databases/california_schools/california_schools.sqlite,"Schema:
Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the table fprm

Question:
Please list the zip code of all the charter schools in Fresno County Office of Education.

Generate SQL query.",Fresno,Fresno,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,False,False,False
3,What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,Database: california_schools,california_schools,/Volumes/Work/CodeGen-Implementations-May_26/data/bird/bird_data/dev_databases/california_schools/california_schools.sqlite,"Schema:
Database: california_schools

Question:
What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?

Generate SQL query.",california_schools,california_schools,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,False,False,False
4,Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.,"Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the frpm",california_schools,/Volumes/Work/CodeGen-Implementations-May_26/data/bird/bird_data/dev_databases/california_schools/california_schools.sqlite,"Schema:
Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the frpm

Question:
Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.

Generate SQL query.",Database: california_schools,Database: california_schools,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',False,False,False
5,How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?,"Database: california_schools
Evidence: Exclusively virtual refers to Virtual = 'F'",california_schools,/Volumes/Work/CodeGen-Implementations-May_26/data/bird/bird_data/dev_databases/california_schools/california_schools.sqlite,"Schema:
Database: california_schools
Evidence: Exclusively virtual refers to Virtual = 'F'

Question:
How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?

Generate SQL query.",Virtual = 'F',Virtual = 'F',SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,False,False,False
6,"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.","Database: california_schools
Evidence: Magnet schools or offer a magnet program means that Magnet = 1",california_schools,/Volumes/Work/CodeGen-Implementations-May_26/data/bird/bird_data/dev_databases/california_schools/california_schools.sqlite,"Schema:
Database: california_schools
Evidence: Magnet schools or offer a magnet program means that Magnet = 1

Question:
Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.

Generate SQL query.",Magnet = 1,Magnet = 1,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,False,False,False
7,What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?,Database: california_schools,california_schools,/Volumes/Work/CodeGen-Implementations-May_26/data/bird/bird_data/dev_databases/california_schools/california_schools.sqlite,"Schema:
Database: california_schools

Question:
What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?

Generate SQL query.",California_schools,California_schools,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,False,False,False
8,What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?,Database: california_schools,california_schools,/Volumes/Work/CodeGen-Implementations-May_26/data/bird/bird_data/dev_databases/california_schools/california_schools.sqlite,"Schema:
Database: california_schools

Question:
What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?

Generate SQL query.",FRPM,FRPM,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),False,False,False
9,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?",Database: california_schools,california_schools,/Volumes/Work/CodeGen-Implementations-May_26/data/bird/bird_data/dev_databases/california_schools/california_schools.sqlite,"Schema:
Database: california_schools

Question:
Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?

Generate SQL query.",California_schools,California_schools,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',False,False,False
