index,question,schema,db_id,db_path,prompt,raw_output,predicted_sql,ground_truth,exact_match,syntax_valid,execution_match
0,How many singers do we have?,"Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
How many singers do we have?

Generate SQL query.",Singer_in_concert,Singer_in_concert,SELECT count(*) FROM singer,False,False,
1,What is the total number of singers?,"Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the total number of singers?

Generate SQL query.","Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number","Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number",SELECT count(*) FROM singer,False,False,
2,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
Show name, country, age for all singers ordered by age from the oldest to the youngest.

Generate SQL query.",Singer_ID number,Singer_ID number,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",False,False,
3,"What are the names, countries, and ages for every singer in descending order of age?","Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are the names, countries, and ages for every singer in descending order of age?

Generate SQL query.",singer_in_concert,singer_in_concert,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",False,False,
4,"What is the average, minimum, and maximum age of all singers from France?","Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the average, minimum, and maximum age of all singers from France?

Generate SQL query.",Singer_in_concert,Singer_in_concert,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",False,False,
5,"What is the average, minimum, and maximum age for all French singers?","Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the average, minimum, and maximum age for all French singers?

Generate SQL query.","Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Is_male number)","Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Is_male number)","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",False,False,
6,Show the name and the release year of the song by the youngest singer.,"Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
Show the name and the release year of the song by the youngest singer.

Generate SQL query.",Song_release_year number,Song_release_year number,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",False,False,
7,What are the names and release years for all the songs of the youngest singer?,"Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are the names and release years for all the songs of the youngest singer?

Generate SQL query.",Song_name number,Song_name number,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",False,False,
8,What are all distinct countries where singers above age 20 are from?,"Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are all distinct countries where singers above age 20 are from?

Generate SQL query.","Country number, Song_Name number, Song_release_year number, Age number, Is_male number","Country number, Song_Name number, Song_release_year number, Age number, Is_male number",SELECT DISTINCT country FROM singer WHERE age  >  20,False,False,
9,What are  the different countries with singers above age 20?,"Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)",concert_singer,,"Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are  the different countries with singers above age 20?

Generate SQL query.","Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Is_male number)","Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Is_male number)",SELECT DISTINCT country FROM singer WHERE age  >  20,False,False,
