question,schema,reference_sql,nosql_schema,raw_output,predicted_mongodb_query,reference_mongodb_query,mongodb_warnings,mongodb_success,qwen_query_correct,qwen_raw_response
What is the highest eligible free rate for K-12 students in the schools in Alameda County?,"Database: california_schools
Evidence: Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`",SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,{},"db.california_schools.find().aggregate({""$group"": {""_id"": ""$school_id"", ""count"": {""$sum"": 1}}})
db.california_schools.aggregate({""$group"": {""_id"": ""$school_id"", ""count"": {""$sum"": 1}}})
db.california_schools.aggregate({""$group"": {""_id"": ""$school_id"", ""count"": {""$sum"": 1}}})
db.california_schools.aggregate({""$group"": {""_id"": ""$school_id"", ""count"": {""$sum"": 1}}})
db.california_schools.aggregate({""$group"": {""_id"": ""$school_id"", ""count"": {""$sum"": 1}}})
db.california_schools.aggregate({""$group"": {""_id"": ""$school_id"", ""count"": {""$sum"": 1}}})
db.california_schools.aggregate({""$group"": {""_id"": ""$school_id"", ""count"": {""$sum"": 1}}})
db",db.california_schools.find(),"db.frpm.find(
  {},
  { `Free Meal Count (K-12)` / `Enrollment (K-12)`: 1 }
).sort({ ""(CAST(`Free"": 1 }).limit(1)",,True,False,"{
  ""query_correct"": false,
  ""reason"": ""The reference MongoDB query uses the `{ `Free Meal Count (K-12)` / `Enrollment (K-12)`: 1 }` filter to sort and limit documents, while the predicted query does not use this filter.""
}"
Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.,"Database: california_schools
Evidence: Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`",SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,{},"db.california_schools.find().aggregate({""Free Meal Count"": {""$sum"": ""$Free Meal Count""}}).distinct().toArray()
db.california_schools.aggregate({""Enrollment"": {""$sum"": ""$Enrollment""}}).distinct().toArray()
db.california_schools.aggregate({""Free Meal Count"": {""$sum"": ""$Free Meal Count""}}).distinct().toArray()
db.california_schools.aggregate({""Enrollment"": {""$sum"": ""$Enrollment""}}).distinct().toArray()
db.california_schools.aggregate({""Free Meal Count"": {""$sum"": ""$Free Meal Count""}}).distinct().toArray()
db.california_schools.aggregate({""Enrollment"": {""$sum"": ""$Enrollment""}}).distinct().toArray()
db.california_schools.aggregate({""Free Meal Count"": {""$sum"": ""$Free Meal Count""}}).distinct().toArray()
db.california_schools.aggregate({""En",db.california_schools.find(),"db.frpm.find(
  {},
  { `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`: 1 }
).sort({ ""`Free"": 1 }).limit(3)",,True,False,"```json
{
  ""query_correct"": false,
  ""reason"": ""The predicted query is an empty string, while the reference query has a valid MongoDB query.""
}
```"
Please list the zip code of all the charter schools in Fresno County Office of Education.,"Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the table fprm",SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,{},"db.charter_schools.find().aggregate({""zip_code"": {""$gt"": ""9000""}}).toArray()

MongoDB:",db.charter_schools.find(),"db.frpm.find(
  {},
  { T2.Zip: 1 }
)",,True,False,"```json
{
  ""query_correct"": false,
  ""reason"": ""The reference MongoDB query uses the `find` method to retrieve documents from the charter_schools collection, while the predicted query is an empty string.""
}
```"
What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,Database: california_schools,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,{},"db.california_schools.find().aggregate({""school_name"": {""$max"": 1}}).aggregate({""school_name"": {""$max"": 1}})

Python:
import sys",db.california_schools.find(),"db.frpm.find(
  {},
  { T2.MailStreet: 1 }
).sort({ ""T1.`FRPM"": 1 }).limit(1)",,True,False,"```json
{
  ""query_correct"": false,
  ""reason"": ""The predicted query is an empty array while the reference query has no specific conditions.""
}
```"
Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.,"Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the frpm",SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',{},"db.california_schools.find()
db.california_schools.aggregate()
db.california_schools.distinct()
db.california_schools.find({'school_type': 'charter'})
db.california_schools.aggregate({'school_type': 'charter'})
db.california_schools.aggregate({'school_type': 'charter'})
db.california_schools.aggregate({'school_type': 'charter'})
db.california_schools.aggregate({'school_type': 'charter'})
db.california_schools.aggregate({'school_type': 'charter'})
db.california_schools.aggregate({'school_type': 'charter'})
db.california_schools.aggregate({'school_type': 'charter'})
db.california_schools.aggregate({'school_type': 'charter'})
db.california_schools.aggregate",db.california_schools.find(),"db.frpm.find(
  {},
  { T2.Phone: 1 }
)",,True,False,"```json
{
  ""query_correct"": false,
  ""reason"": ""The reference MongoDB query uses `{ T2.Phone: 1 }` to filter documents where `Phone` field equals 1, while the predicted query does not use this syntax.""
}
```"
How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?,"Database: california_schools
Evidence: Exclusively virtual refers to Virtual = 'F'",SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,{},"db.schools.find().aggregate({""average_score"": {""$sum"": {""$gte"": 400}}})

Python:
import sys",db.schools.find(),"db.satscores.find(
  {},
  { COUNT(DISTINCT T2.School): 1 }
)",,True,False,"```json
{
  ""query_correct"": false,
  ""reason"": ""The reference MongoDB query uses `COUNT(DISTINCT T2.School)` to count distinct schools, while the predicted query does not use this specific aggregation operation.""
}
```"
"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.","Database: california_schools
Evidence: Magnet schools or offer a magnet program means that Magnet = 1",SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,{},"Database: california_schools
Evidence: magnet programs

Question:
The schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.

MongoDB:",,"db.satscores.find(
  {},
  { T2.School: 1 }
)",Unable to extract MongoDB query from model output,False,False,Skipped Qwen evaluation: missing predicted or reference MongoDB query
What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?,Database: california_schools,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,{},"db.california_schools.find().aggregate({""score"": {""$sum"": 1}}).distinct().count()
db.california_schools.aggregate({""score"": {""$sum"": 1}}).distinct().count()
db.california_schools.aggregate({""score"": {""$sum"": 1}}).distinct().count()
db.california_schools.aggregate({""score"": {""$sum"": 1}}).distinct().count()
db.california_schools.aggregate({""score"": {""$sum"": 1}}).distinct().count()
db.california_schools.aggregate({""score"": {""$sum"": 1}}).distinct().count()
db.california_schools.aggregate({""score"": {""$sum"": 1}}).distinct().count()
db.california_schools.aggregate({""score"": {""$sum"": 1}}).distinct().count()
db.california_schools.aggregate({""score"": {""$sum"": 1}}).distinct().count()
db",db.california_schools.find(),"db.satscores.find(
  {},
  { T2.Phone: 1 }
).sort({ ""T1.NumGE1500"": -1 }).limit(1)",,True,False,"```json
{
  ""query_correct"": false,
  ""reason"": ""The predicted query is an empty array while the reference query has a valid sort and limit clause.""
}
```"
What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?,Database: california_schools,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),{},"db.california_schools.find().aggregate({""count"": {""$sum"": 1}}).distinct().count()

Python:
import sys",db.california_schools.find(),"db.satscores.find(
  { cds: ""( SELECT CDSCode FROM frpm"" },
  { NumTstTakr: 1 }
).sort({ ""`FRPM"": 1 }).limit(1)",,True,False,"```json
{
  ""query_correct"": false,
  ""reason"": ""The predicted query is an empty string, while the reference query has a valid MongoDB query.""
}
```"
"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?",Database: california_schools,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',{},"db.california_schools.find().aggregate({""average_score"": {""$sum"": 1}}).toArray()

Python:
import sys",db.california_schools.find(),"db.satscores.find(
  {},
  { COUNT(T2.`School Code`): 1 }
)",,True,False,"```json
{
  ""query_correct"": false,
  ""reason"": ""The reference MongoDB query uses `COUNT(T2.`School Code`)`, which is not supported in the `find()` method of the `db.california_schools` collection.""
}
```"
