dataset,problem_id,nl,python,java,java_test,n_attempts,flag,fail_reason,ast_jaccard_cross,python_flag,output_match,output_match_rate,output_match_error,last_error
mbpp,448,Write a function to calculate the sum of perrin numbers.,"def cal_sum(n): 
	a = 3
	b = 0
	c = 2
	if (n == 0): 
		return 3
	if (n == 1): 
		return 3
	if (n == 2): 
		return 5
	sum = 5
	while (n > 2): 
		d = a + b 
		sum = sum + d 
		a = b 
		b = c 
		c = d 
		n = n-1
	return sum","// Solution.java
public class Solution {
    public static int calSum(int n) {
        if (n == 0) return 3;
        if (n == 1) return 3;
        if (n == 2) return 5;

        int a = 3, b = 0, c = 2, sum = 5;
        while (n > 2) {
            int d = a + b;
            sum += d;
            a = b;
            b = c;
            c = d;
            n--;
        }
        return sum;
    }
}","// Main.java
import java.util.*;

public class Main {
    public static void main(String[] args) {
        assert Solution.calSum(9) == 49 : ""Test case 1 failed"";
        assert Solution.calSum(10) == 66 : ""Test case 2 failed"";
        assert Solution.calSum(11) == 88 : ""Test case 3 failed"";

        System.out.println(""All test cases passed!"");
    }
}",1,True,,0.1894,True,True,1.0,,
mbpp,455,Write a function to check whether the given month number contains 31 days or not.,"def check_monthnumb_number(monthnum2):
  if(monthnum2==1 or monthnum2==3 or monthnum2==5 or monthnum2==7 or monthnum2==8 or monthnum2==10 or monthnum2==12):
    return True
  else:
    return False","// Solution.java
public class Solution {
    public static boolean checkMonthNumber(int monthnum2) {
        if (monthnum2 == 1 || monthnum2 == 3 || monthnum2 == 5 || monthnum2 == 7 || monthnum2 == 8 || monthnum2 == 10 || monthnum2 == 12) {
            return true;
        } else {
            return false;
        }
    }
}","// Main.java
public class Main {
    public static void main(String[] args) {
        assert Solution.checkMonthNumber(5) == true : ""Test 1 failed"";
        assert Solution.checkMonthNumber(2) == false : ""Test 2 failed"";
        assert Solution.checkMonthNumber(6) == false : ""Test 3 failed"";
        System.out.println(""All tests passed."");
    }
}",1,True,,0.0633,True,False,0.0,0/3 inputs matched,
mbpp,119,Write a python function to find the element that appears only once in a sorted array.,"def search(arr):
    n = len(arr)
    XOR = 0
    for i in range(n) :
        XOR = XOR ^ arr[i]
    return (XOR)","// Solution.java
public class Solution {
    public static int search(int[] arr) {
        int n = arr.length;
        int XOR = 0;
        for (int i = 0; i < n; i++) {
            XOR = XOR ^ arr[i];
        }
        return XOR;
    }
}","// Main.java
public class Main {
    public static void main(String[] args) {
        assert Solution.search(new int[]{1, 1, 2, 2, 3}) == 3;
        assert Solution.search(new int[]{1, 1, 3, 3, 4, 4, 5, 5, 7, 7, 8}) == 8;
        assert Solution.search(new int[]{1, 2, 2, 3, 3, 4, 4}) == 1;
        System.out.println(""All tests passed."");
    }
}",1,True,,0.3273,True,False,0.0,0/3 inputs matched,
mbpp,19,Write a function to find whether a given array of integers contains any duplicate element.,"def test_duplicate(arraynums):
    nums_set = set(arraynums)    
    return len(arraynums) != len(nums_set)     ","// Solution.java
public class Solution {
    public static boolean testDuplicate(int[] arraynums) {
        Set<Integer> numsSet = new HashSet<>();
        for (int num : arraynums) {
            if (!numsSet.add(num)) {
                return true;
            }
        }
        return false;
    }
}","// Main.java
public class Main {
    public static void main(String[] args) {
        assert !Solution.testDuplicate(new int[]{1, 2, 3, 4, 5});
        assert Solution.testDuplicate(new int[]{1, 2, 3, 4, 4});
        assert Solution.testDuplicate(new int[]{1, 1, 2, 2, 3, 3, 4, 4, 5});
    }
}",1,True,,0.186,True,False,0.0,0/3 inputs matched,
mbpp,247,Write a function to find the length of the longest palindromic subsequence in the given string.,"def lps(str): 
	n = len(str) 
	L = [[0 for x in range(n)] for x in range(n)] 
	for i in range(n): 
		L[i][i] = 1
	for cl in range(2, n+1): 
		for i in range(n-cl+1): 
			j = i+cl-1
			if str[i] == str[j] and cl == 2: 
				L[i][j] = 2
			elif str[i] == str[j]: 
				L[i][j] = L[i+1][j-1] + 2
			else: 
				L[i][j] = max(L[i][j-1], L[i+1][j]); 
	return L[0][n-1]","// Solution.java
public class Solution {
    public static int lps(String str) {
        int n = str.length();
        int[][] L = new int[n][n];
        for (int i = 0; i < n; i++) {
            L[i][i] = 1;
        }
        for (int cl = 2; cl <= n; cl++) {
            for (int i = 0; i <= n - cl; i++) {
                int j = i + cl - 1;
                if (str.charAt(i) == str.charAt(j) && cl == 2) {
                    L[i][j] = 2;
                } else if (str.charAt(i) == str.charAt(j)) {
                    L[i][j] = L[i + 1][j - 1] + 2;
                } else {
                    L[i][j] = Math.max(L[i][j - 1], L[i + 1][j]);
                }
            }
        }
        return L[0][n - 1];
    }
}","// Main.java
public class Main {
    public static void main(String[] args) {
        assert Solution.lps(""TENS FOR TENS"") == 5 : ""Test 1 failed"";
        assert Solution.lps(""CARDIO FOR CARDS"") == 7 : ""Test 2 failed"";
        assert Solution.lps(""PART OF THE JOURNEY IS PART"") == 9 : ""Test 3 failed"";
        System.out.println(""All tests passed."");
    }
}",1,True,,0.2753,True,True,1.0,,
mbpp,278,Write a function to find the number of elements that occurs before the tuple element in the given tuple.,"def count_first_elements(test_tup):
  for count, ele in enumerate(test_tup):
    if isinstance(ele, tuple):
      break
  return (count) ","// Solution.java
public class Solution {
    public static int countFirstElements(Object[] testTup) {
        int count = 0;
        for (; count < testTup.length; count++) {
            if (testTup[count] instanceof Object[]) {
                break;
            }
        }
        return count;
    }
}","// Main.java
public class Main {
    public static void main(String[] args) {
        assert Solution.countFirstElements(new Object[]{1, 5, 7, new Object[]{4, 6}, 10}) == 3;
        assert Solution.countFirstElements(new Object[]{2, 9, new Object[]{5, 7}, 11}) == 2;
        assert Solution.countFirstElements(new Object[]{11, 15, 5, 8, new Object[]{2, 3}, 8}) == 4;
        System.out.println(""All tests passed."");
    }
}",2,True,,0.2619,True,False,0.0,0/3 inputs matched,
mbpp,71,Write a function to sort a list of elements.,"def comb_sort(nums):
    shrink_fact = 1.3
    gaps = len(nums)
    swapped = True
    i = 0
    while gaps > 1 or swapped:
        gaps = int(float(gaps) / shrink_fact)
        swapped = False
        i = 0
        while gaps + i < len(nums):
            if nums[i] > nums[i+gaps]:
                nums[i], nums[i+gaps] = nums[i+gaps], nums[i]
                swapped = True
            i += 1
    return nums","// Solution.java
public class Solution {
    public static int[] combSort(int[] nums) {
        double shrinkFact = 1.3;
        int gaps = nums.length;
        boolean swapped = true;
        int i = 0;
        while (gaps > 1 || swapped) {
            gaps = (int)(gaps / shrinkFact);
            swapped = false;
            i = 0;
            while (gaps + i < nums.length) {
                if (nums[i] > nums[i + gaps]) {
                    int temp = nums[i];
                    nums[i] = nums[i + gaps];
                    nums[i + gaps] = temp;
                    swapped = true;
                }
                i++;
            }
        }
        return nums;
    }
}","// Main.java
import java.util.Arrays;

public class Main {
    public static void main(String[] args) {
        assert Arrays.equals(Solution.combSort(new int[]{5, 15, 37, 25, 79}), new int[]{5, 15, 25, 37, 79});
        assert Arrays.equals(Solution.combSort(new int[]{41, 32, 15, 19, 22}), new int[]{15, 19, 22, 32, 41});
        assert Arrays.equals(Solution.combSort(new int[]{99, 15, 13, 47}), new int[]{13, 15, 47, 99});
        System.out.println(""All tests passed."");
    }
}",2,True,,0.234,True,False,0.0,0/3 inputs matched,
mbpp,250,Write a python function that takes in a tuple and an element and counts the occcurences of the element in the tuple.,"def count_X(tup, x): 
    count = 0
    for ele in tup: 
        if (ele == x): 
            count = count + 1
    return count ","// Solution.java
public class Solution {
    public static int count_X(int[] tup, int x) {
        int count = 0;
        for (int ele : tup) {
            if (ele == x) {
                count++;
            }
        }
        return count;
    }
}","// Main.java
import java.util.*;

public class Main {
    public static void main(String[] args) {
        assert Solution.count_X(new int[]{10, 8, 5, 2, 10, 15, 10, 8, 5, 8, 8, 2}, 4) == 0;
        assert Solution.count_X(new int[]{10, 8, 5, 2, 10, 15, 10, 8, 5, 8, 8, 2}, 10) == 3;
        assert Solution.count_X(new int[]{10, 8, 5, 2, 10, 15, 10, 8, 5, 8, 8, 2}, 8) == 4;
        System.out.println(""All tests passed."");
    }
}",1,True,,0.2889,True,False,0.0,0/3 inputs matched,
mbpp,299,Write a function to calculate the maximum aggregate from the list of tuples.,"from collections import defaultdict
def max_aggregate(stdata):
    temp = defaultdict(int)
    for name, marks in stdata:
        temp[name] += marks
    return max(temp.items(), key=lambda x: x[1])","// Solution.java
import java.util.*;

public class Solution {
    public static Map.Entry<String, Integer> maxAggregate(List<Map.Entry<String, Integer>> stdata) {
        Map<String, Integer> temp = new HashMap<>();
        for (Map.Entry<String, Integer> entry : stdata) {
            temp.put(entry.getKey(), temp.getOrDefault(entry.getKey(), 0) + entry.getValue());
        }
        return Collections.max(temp.entrySet(), Comparator.comparingInt(Map.Entry::getValue));
    }
}","// Main.java
import java.util.*;
import java.util.stream.*;

public class Main {
    public static void main(String[] args) {
        assert Solution.maxAggregate(Arrays.asList(
                new AbstractMap.SimpleEntry<>(""Juan Whelan"", 90),
                new AbstractMap.SimpleEntry<>(""Sabah Colley"", 88),
                new AbstractMap.SimpleEntry<>(""Peter Nichols"", 7),
                new AbstractMap.SimpleEntry<>(""Juan Whelan"", 122),
                new AbstractMap.SimpleEntry<>(""Sabah Colley"", 84)
        )).equals(new AbstractMap.SimpleEntry<>(""Juan Whelan"", 212));

        assert Solution.maxAggregate(Arrays.asList(
                new AbstractMap.SimpleEntry<>(""Juan Whelan"", 50),
                new AbstractMap.SimpleEntry<>(""Sabah Colley"", 48),
                new AbstractMap.SimpleEntry<>(""Peter Nichols"", 37),
                new AbstractMap.SimpleEntry<>(""Juan Whelan"", 22),
                new AbstractMap.SimpleEntry<>(""Sabah Colley"", 14)
        )).equals(new AbstractMap.SimpleEntry<>(""Juan Whelan"", 72));

        assert Solution.maxAggregate(Arrays.asList(
                new AbstractMap.SimpleEntry<>(""Juan Whelan"", 10),
                new AbstractMap.SimpleEntry<>(""Sabah Colley"", 20),
                new AbstractMap.SimpleEntry<>(""Peter Nichols"", 30),
                new AbstractMap.SimpleEntry<>(""Juan Whelan"", 40),
                new AbstractMap.SimpleEntry<>(""Sabah Colley"", 50)
        )).equals(new AbstractMap.SimpleEntry<>(""Sabah Colley"", 70));
    }
}",1,True,,0.253,True,False,0.0,0/3 inputs matched,
mbpp,109,Write a python function to find the number of numbers with an odd value when rotating a binary string the given number of times.,"def odd_Equivalent(s,n): 
    count=0
    for i in range(0,n): 
        if (s[i] == '1'): 
            count = count + 1
    return count ","// Solution.java
public class Solution {
    public static int odd_Equivalent(String s, int n) { 
        int count = 0; 
        for (int i = 0; i < n; i++) { 
            if (s.charAt(i) == '1') { 
                count++; 
            } 
        } 
        return count; 
    }
}","// Main.java
public class Main {
    public static void main(String[] args) {
        assert Solution.odd_Equivalent(""011001"", 6) == 3;
        assert Solution.odd_Equivalent(""11011"", 5) == 4;
        assert Solution.odd_Equivalent(""1010"", 4) == 2;
        System.out.println(""All tests passed."");
    }
}",1,True,,0.3208,True,False,0.0,0/3 inputs matched,
mbpp,223,"Write a function that takes in a sorted array, its length (n), and an element and returns whether the element is the majority element in the given sorted array. (The majority element is the element that occurs more than n/2 times.)","def is_majority(arr, n, x):
	i = binary_search(arr, 0, n-1, x)
	if i == -1:
		return False
	if ((i + n//2) <= (n -1)) and arr[i + n//2] == x:
		return True
	else:
		return False
def binary_search(arr, low, high, x):
	if high >= low:
		mid = (low + high)//2 
		if (mid == 0 or x > arr[mid-1]) and (arr[mid] == x):
			return mid
		elif x > arr[mid]:
			return binary_search(arr, (mid + 1), high, x)
		else:
			return binary_search(arr, low, (mid -1), x)
	return -1","// Solution.java
public class Solution {
    public static boolean isMajority(int[] arr, int n, int x) {
        int i = binarySearch(arr, 0, n - 1, x);
        if (i == -1) {
            return false;
        }
        if ((i + n / 2) <= (n - 1) && arr[i + n / 2] == x) {
            return true;
        } else {
            return false;
        }
    }

    private static int binarySearch(int[] arr, int low, int high, int x) {
        if (high >= low) {
            int mid = (low + high) / 2;
            if ((mid == 0 || x > arr[mid - 1]) && (arr[mid] == x)) {
                return mid;
            } else if (x > arr[mid]) {
                return binarySearch(arr, mid + 1, high, x);
            } else {
                return binarySearch(arr, low, mid - 1, x);
            }
        }
        return -1;
    }
}","// Main.java
public class Main {
    public static void main(String[] args) {
        assert Solution.isMajority(new int[]{1, 2, 3, 3, 3, 3, 10}, 7, 3) == true;
        assert Solution.isMajority(new int[]{1, 1, 2, 4, 4, 4, 6, 6}, 8, 4) == false;
        assert Solution.isMajority(new int[]{1, 1, 1, 2, 2}, 5, 1) == true;
        assert Solution.isMajority(new int[]{1, 1, 2, 2}, 5, 1) == false;
        System.out.println(""All tests passed."");
    }
}",1,True,,0.2305,True,False,0.0,0/4 inputs matched,
mbpp,447,Write a function to find cubes of individual elements in a list.,"def cube_nums(nums):
 cube_nums = list(map(lambda x: x ** 3, nums))
 return cube_nums","// Solution.java
public class Solution {
    public static List<Integer> cubeNums(List<Integer> nums) {
        List<Integer> cubedNums = new ArrayList<>();
        for (Integer num : nums) {
            cubedNums.add(num * num * num);
        }
        return cubedNums;
    }
}","// Main.java
import java.util.*;

public class Main {
    public static void main(String[] args) {
        assert Arrays.equals(Solution.cubeNums(Arrays.asList(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)).toArray(), new Integer[]{1, 8, 27, 64, 125, 216, 343, 512, 729, 1000});
        assert Arrays.equals(Solution.cubeNums(Arrays.asList(10, 20, 30)).toArray(), new Integer[]{1000, 8000, 27000});
        assert Arrays.equals(Solution.cubeNums(Arrays.asList(12, 15)).toArray(), new Integer[]{1728, 3375});
    }
}",2,True,,0.14,True,False,0.0,0/3 inputs matched,
mbpp,429,Write a function to extract the elementwise and tuples from the given two tuples.,"def and_tuples(test_tup1, test_tup2):
  res = tuple(ele1 & ele2 for ele1, ele2 in zip(test_tup1, test_tup2))
  return (res) ","// Solution.java
public class Solution {
    public static int[] andTuples(int[] testTup1, int[] testTup2) {
        int[] res = new int[testTup1.length];
        for (int i = 0; i < testTup1.length; i++) {
            res[i] = testTup1[i] & testTup2[i];
        }
        return res;
    }
}","// Main.java
import java.util.Arrays;

public class Main {
    public static void main(String[] args) {
        assert Arrays.equals(Solution.andTuples(new int[]{10, 4, 6, 9}, new int[]{5, 2, 3, 3}), new int[]{0, 0, 2, 1});
        assert Arrays.equals(Solution.andTuples(new int[]{1, 2, 3, 4}, new int[]{5, 6, 7, 8}), new int[]{1, 2, 3, 0});
        assert Arrays.equals(Solution.andTuples(new int[]{8, 9, 11, 12}, new int[]{7, 13, 14, 17}), new int[]{0, 9, 10, 0});
        
        System.out.println(""All tests passed."");
    }
}",1,True,,0.4118,True,False,0.0,0/3 inputs matched,
mbpp,272,Write a function that takes in a list of tuples and returns a list containing the rear element of each tuple.,"def rear_extract(test_list):
  res = [lis[-1] for lis in test_list]
  return (res) ","// Solution.java
public class Solution {
    public static List<Integer> rearExtract(List<List<Integer>> testList) {
        List<Integer> res = new ArrayList<>();
        for (List<Integer> lis : testList) {
            res.add(lis.get(lis.size() - 1));
        }
        return res;
    }
}","// Main.java
import java.util.*;

public class Main {
    public static void main(String[] args) {
        assert Solution.rearExtract(Arrays.asList(
                Arrays.asList(1, 21),
                Arrays.asList(2, 20),
                Arrays.asList(3, 19)
        )).equals(Arrays.asList(21, 20, 19));

        assert Solution.rearExtract(Arrays.asList(
                Arrays.asList(1, 36),
                Arrays.asList(2, 25),
                Arrays.asList(3, 45)
        )).equals(Arrays.asList(36, 25, 45));

        assert Solution.rearExtract(Arrays.asList(
                Arrays.asList(1, 14),
                Arrays.asList(2, 36),
                Arrays.asList(3, 56)
        )).equals(Arrays.asList(14, 36, 56));
    }
}",1,True,,0.14,True,False,0.0,0/3 inputs matched,
mbpp,406,Write a python function to find whether the parity of a given number is odd.,"def find_Parity(x): 
    y = x ^ (x >> 1); 
    y = y ^ (y >> 2); 
    y = y ^ (y >> 4); 
    y = y ^ (y >> 8); 
    y = y ^ (y >> 16); 
    if (y & 1): 
        return True
    return False","// Solution.java
public class Solution {
    public static boolean findParity(int x) {
        x ^= x >> 1;
        x ^= x >> 2;
        x ^= x >> 4;
        x ^= x >> 8;
        x ^= x >> 16;
        return (x & 1) != 0;
    }
}","// Main.java
public class Main {
    public static void main(String[] args) {
        assert !Solution.findParity(12);
        assert Solution.findParity(7);
        assert !Solution.findParity(10);
    }
}",1,True,,0.1515,True,True,1.0,,
mbpp,140,Write a function to flatten the list of lists into a single set of numbers.,"def extract_singly(test_list):
  res = []
  temp = set()
  for inner in test_list:
    for ele in inner:
      if not ele in temp:
        temp.add(ele)
        res.append(ele)
  return (res) ","// Solution.java
import java.util.*;

public class Solution {
    public static List<Integer> extractSingly(List<List<Integer>> testList) {
        List<Integer> res = new ArrayList<>();
        Set<Integer> temp = new HashSet<>();
        for (List<Integer> inner : testList) {
            for (Integer ele : inner) {
                if (!temp.contains(ele)) {
                    temp.add(ele);
                    res.add(ele);
                }
            }
        }
        return res;
    }
}","// Main.java
import java.util.*;
import java.util.stream.*;

public class Main {
    public static void main(String[] args) {
        assert Arrays.equals(Solution.extractSingly(Arrays.asList(Arrays.asList(3, 4, 5), Arrays.asList(4, 5, 7), Arrays.asList(1, 4))).toArray(), new Integer[]{3, 4, 5, 7, 1}.toArray());
        assert Arrays.equals(Solution.extractSingly(Arrays.asList(Arrays.asList(1, 2, 3), Arrays.asList(4, 2, 3), Arrays.asList(7, 8))).toArray(), new Integer[]{1, 2, 3, 4, 7, 8}.toArray());
        assert Arrays.equals(Solution.extractSingly(Arrays.asList(Arrays.asList(7, 8, 9), Arrays.asList(10, 11, 12), Arrays.asList(10, 11))).toArray(), new Integer[]{7, 8, 9, 10, 11, 12}.toArray());
    }
}",3,False,"compile: /tmp/tmp65p2uxs3/Main.java:12: error: cannot find symbol
        assert Arrays.equals(Solution.extractSingly(Arrays.asList(Arrays.asList(3, 4, 5), Arrays.asList(4, 5, 7), Arrays.asList(1, 4))).toArray(), new Integer[]{3, 4, 5, 7, 1}.toArray());
                                                                                                                                                           ",0.2326,True,False,0.0,skipped — java failed,"compile: /tmp/tmp65p2uxs3/Main.java:12: error: cannot find symbol
        assert Arrays.equals(Solution.extractSingly(Arrays.asList(Arrays.asList(3, 4, 5), Arrays.asList(4, 5, 7), Arrays.asList(1, 4))).toArray(), new Integer[]{3, 4, 5, 7, 1}.toArray());
                                                                                                                                                           "
