index,question,prompt,input_token_count,raw_output,predicted_sql,predicted_sql_valid,ground_truth,qwen_sql_correct,qwen_raw_response
0,How many singers do we have?,"Translate the question into SQL.

Rules:

* Use only schema tables and columns.
* Use JOIN when data spans multiple tables.
* Use COUNT(*) for counts.
* Use DISTINCT when uniqueness is required.
* Use GROUP BY for aggregations by category.
* Use ORDER BY for ranking or sorting.
* Use LIMIT when the question asks for top, highest, lowest, first, or last.
* Return exactly one SQL SELECT statement.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
How many singers do we have?

SQL:",234,"SELECT COUNT(*) FROM stadium
  WHERE Location = 'Stadium'
  AND Name = 'Stadium'
  AND Country = 'Stadium'
  AND Song_Name = 'Stadium'
  AND Song_release_year = '2010'
  AND Age = '1'
  AND Is_male = '0'

Rules:

* Use only schema tables and columns.
* Use JOIN when data spans multiple tables.
* Use COUNT(*) for counts.
* Use DISTINCT when uniqueness is required.
* Use GROUP BY for aggregations by category.
* Use ORDER BY for ranking or sorting.
* Use LIMIT when the question asks for top, highest, lowest, first, or last.
* Return exactly one SQL SELECT statement.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name",SELECT COUNT(*) FROM stadium WHERE Location = 'Stadium' AND Name = 'Stadium' AND Country = 'Stadium' AND Song_Name = 'Stadium' AND Song_release_year = '2010' AND Age = '1' AND Is_male = '0',True,SELECT count(*) FROM singer,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['stadium'], ground_truth=['singer']"
1,What is the total number of singers?,"Translate the question into SQL.

Rules:

* Use only schema tables and columns.
* Use JOIN when data spans multiple tables.
* Use COUNT(*) for counts.
* Use DISTINCT when uniqueness is required.
* Use GROUP BY for aggregations by category.
* Use ORDER BY for ranking or sorting.
* Use LIMIT when the question asks for top, highest, lowest, first, or last.
* Return exactly one SQL SELECT statement.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the total number of singers?

SQL:",235,SELECT COUNT(*) FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (,SELECT COUNT(*) FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (SELECT * FROM (,False,SELECT count(*) FROM singer,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
2,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","Translate the question into SQL.

Rules:

* Use only schema tables and columns.
* Use JOIN when data spans multiple tables.
* Use COUNT(*) for counts.
* Use DISTINCT when uniqueness is required.
* Use GROUP BY for aggregations by category.
* Use ORDER BY for ranking or sorting.
* Use LIMIT when the question asks for top, highest, lowest, first, or last.
* Return exactly one SQL SELECT statement.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
Show name, country, age for all singers ordered by age from the oldest to the youngest.

SQL:",246,"SELECT
    Singer_ID, Name, Country, Age, Highest, Lowest, Average
FROM
    Singer
WHERE
    Country = 'USA'
    AND Age = '18'
    AND Is_male = '0'
    AND Name = 'Singer'
    AND Stadium_ID = '1'
    AND Year = '2010'

GROUP BY
    Singer_ID, Name, Country, Age, Highest, Lowest, Average
ORDER BY
    Singer_ID, Name, Country, Age, Highest, Lowest, Average
LIMIT 10","SELECT Singer_ID, Name, Country, Age, Highest, Lowest, Average FROM Singer WHERE Country = 'USA' AND Age = '18' AND Is_male = '0' AND Name = 'Singer' AND Stadium_ID = '1' AND Year = '2010'",True,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",True,"{
  ""sql_correct"": true,
  ""reason"": ""The predicted SQL uses different columns and conditions compared to the ground truth SQL.""
}"
3,"What are the names, countries, and ages for every singer in descending order of age?","Translate the question into SQL.

Rules:

* Use only schema tables and columns.
* Use JOIN when data spans multiple tables.
* Use COUNT(*) for counts.
* Use DISTINCT when uniqueness is required.
* Use GROUP BY for aggregations by category.
* Use ORDER BY for ranking or sorting.
* Use LIMIT when the question asks for top, highest, lowest, first, or last.
* Return exactly one SQL SELECT statement.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are the names, countries, and ages for every singer in descending order of age?

SQL:",245,"SELECT
    Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male
FROM
    Singer_in_concert
WHERE
    Singer_ID = concert_ID

SQL:","SELECT Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male FROM Singer_in_concert WHERE Singer_ID = concert_ID",True,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['singer_in_concert'], ground_truth=['singer']"
4,"What is the average, minimum, and maximum age of all singers from France?","Translate the question into SQL.

Rules:

* Use only schema tables and columns.
* Use JOIN when data spans multiple tables.
* Use COUNT(*) for counts.
* Use DISTINCT when uniqueness is required.
* Use GROUP BY for aggregations by category.
* Use ORDER BY for ranking or sorting.
* Use LIMIT when the question asks for top, highest, lowest, first, or last.
* Return exactly one SQL SELECT statement.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the average, minimum, and maximum age of all singers from France?

SQL:",243,"SELECT SUM(Singer_ID) AS Average, MIN(Singer_ID) AS Minimum, MAX(Singer_ID) AS Maximum
FROM singer
GROUP BY Singer_ID
ORDER BY Average DESC, Minimum DESC, Maximum DESC
LIMIT 1

SQL:","SELECT SUM(Singer_ID) AS Average, MIN(Singer_ID) AS Minimum, MAX(Singer_ID) AS Maximum FROM singer GROUP BY Singer_ID ORDER BY Average DESC, Minimum DESC, Maximum DESC LIMIT 1",True,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",True,"{
  ""sql_correct"": true,
  ""reason"": ""The predicted SQL uses the correct syntax and includes the necessary aggregate functions.""
}"
5,"What is the average, minimum, and maximum age for all French singers?","Translate the question into SQL.

Rules:

* Use only schema tables and columns.
* Use JOIN when data spans multiple tables.
* Use COUNT(*) for counts.
* Use DISTINCT when uniqueness is required.
* Use GROUP BY for aggregations by category.
* Use ORDER BY for ranking or sorting.
* Use LIMIT when the question asks for top, highest, lowest, first, or last.
* Return exactly one SQL SELECT statement.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the average, minimum, and maximum age for all French singers?

SQL:",242,SELECT SUM(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(,SELECT SUM(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(CAST(,False,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
6,Show the name and the release year of the song by the youngest singer.,"Translate the question into SQL.

Rules:

* Use only schema tables and columns.
* Use JOIN when data spans multiple tables.
* Use COUNT(*) for counts.
* Use DISTINCT when uniqueness is required.
* Use GROUP BY for aggregations by category.
* Use ORDER BY for ranking or sorting.
* Use LIMIT when the question asks for top, highest, lowest, first, or last.
* Return exactly one SQL SELECT statement.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
Show the name and the release year of the song by the youngest singer.

SQL:",242,"SELECT
    Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male
FROM
    Singer_in_concert
WHERE
    Singer_ID = concert_ID

GROUP BY
    Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male
ORDER BY
    Singer_ID, Name, Country, Song_Name, Song_release_year, Age
LIMIT 1","SELECT Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male FROM Singer_in_concert WHERE Singer_ID = concert_ID",True,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['singer_in_concert'], ground_truth=['singer']"
7,What are the names and release years for all the songs of the youngest singer?,"Translate the question into SQL.

Rules:

* Use only schema tables and columns.
* Use JOIN when data spans multiple tables.
* Use COUNT(*) for counts.
* Use DISTINCT when uniqueness is required.
* Use GROUP BY for aggregations by category.
* Use ORDER BY for ranking or sorting.
* Use LIMIT when the question asks for top, highest, lowest, first, or last.
* Return exactly one SQL SELECT statement.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are the names and release years for all the songs of the youngest singer?

SQL:",243,"SELECT
    Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male
FROM
    Singer_in_concert
WHERE
    Singer_ID = concert_ID

SQL:","SELECT Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male FROM Singer_in_concert WHERE Singer_ID = concert_ID",True,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['singer_in_concert'], ground_truth=['singer']"
8,What are all distinct countries where singers above age 20 are from?,"Translate the question into SQL.

Rules:

* Use only schema tables and columns.
* Use JOIN when data spans multiple tables.
* Use COUNT(*) for counts.
* Use DISTINCT when uniqueness is required.
* Use GROUP BY for aggregations by category.
* Use ORDER BY for ranking or sorting.
* Use LIMIT when the question asks for top, highest, lowest, first, or last.
* Return exactly one SQL SELECT statement.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are all distinct countries where singers above age 20 are from?

SQL:",240,"SELECT DISTINCT
    Singer_ID,
    Name,
    Country,
    Song_Name,
    Song_release_year,
    Age,
    Is_male
FROM
    Singer_in_concert
WHERE
    Singer_ID > 20
    AND
    Is_male
GROUP BY
    Singer_ID,
    Name,
    Country,
    Song_Name,
    Song_release_year,
    Age,
    Is_male
ORDER BY
    Singer_ID,
    Name,
    Country,
    Song_Name,
    Song_release_year,
    Age,
    Is_male
LIMIT 1","SELECT DISTINCT Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male FROM Singer_in_concert WHERE Singer_ID > 20 AND Is_male GROUP BY Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male ORDER BY Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male LIMIT 1",True,SELECT DISTINCT country FROM singer WHERE age  >  20,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['singer_in_concert'], ground_truth=['singer']"
9,What are  the different countries with singers above age 20?,"Translate the question into SQL.

Rules:

* Use only schema tables and columns.
* Use JOIN when data spans multiple tables.
* Use COUNT(*) for counts.
* Use DISTINCT when uniqueness is required.
* Use GROUP BY for aggregations by category.
* Use ORDER BY for ranking or sorting.
* Use LIMIT when the question asks for top, highest, lowest, first, or last.
* Return exactly one SQL SELECT statement.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are  the different countries with singers above age 20?

SQL:",239,"SELECT DISTINCT
    Singer_ID,
    Singer_Name,
    Country_ID,
    Song_Name,
    Song_release_year,
    Age,
    Is_male,
    Singer_ID,
    Singer_Name,
    Country_ID,
    Song_Name,
    Song_release_year,
    Age,
    Is_male,
    Singer_ID,
    Singer_Name,
    Country_ID,
    Song_Name,
    Song_release_year,
    Age,
    Is_male,
    Singer_ID,
    Singer_Name,
    Country_ID,
    Song_Name,
    Song_release_year,
    Age,
    Is_male,
    Singer_ID,
    Singer_Name,
    Country_ID,
    Song_Name,
    Song_release_year,
    Age,
    Is_male,
    Singer_ID,
    Singer_Name,
    Country_ID,
    Song_Name,
    Song_",SELECT DISTINCT,False,SELECT DISTINCT country FROM singer WHERE age  >  20,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
