question,schema,reference_sql,nosql_schema,raw_output,predicted_mongodb_query,reference_mongodb_query,mongodb_warnings,mongodb_success,qwen_query_correct,qwen_raw_response
What is the highest eligible free rate for K-12 students in the schools in Alameda County?,"Database: california_schools
Evidence: Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`",SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,{},False,,"db.frpm.find(
  {},
  { `Free Meal Count (K-12)` / `Enrollment (K-12)`: 1 }
).sort({ ""(CAST(`Free"": 1 }).limit(1)",Unable to extract MongoDB query from model output,False,False,Skipped Qwen evaluation: missing predicted or reference MongoDB query
Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.,"Database: california_schools
Evidence: Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`",SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,{},Not_duplicate,,"db.frpm.find(
  {},
  { `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`: 1 }
).sort({ ""`Free"": 1 }).limit(3)",Unable to extract MongoDB query from model output,False,False,Skipped Qwen evaluation: missing predicted or reference MongoDB query
Please list the zip code of all the charter schools in Fresno County Office of Education.,"Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the table fprm",SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,{},not_duplicate,,"db.frpm.find(
  {},
  { T2.Zip: 1 }
)",Unable to extract MongoDB query from model output,False,False,Skipped Qwen evaluation: missing predicted or reference MongoDB query
What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,Database: california_schools,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,{},not_duplicate,,"db.frpm.find(
  {},
  { T2.MailStreet: 1 }
).sort({ ""T1.`FRPM"": 1 }).limit(1)",Unable to extract MongoDB query from model output,False,False,Skipped Qwen evaluation: missing predicted or reference MongoDB query
Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.,"Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the frpm",SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',{},not_duplicate,,"db.frpm.find(
  {},
  { T2.Phone: 1 }
)",Unable to extract MongoDB query from model output,False,False,Skipped Qwen evaluation: missing predicted or reference MongoDB query
How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?,"Database: california_schools
Evidence: Exclusively virtual refers to Virtual = 'F'",SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,{},not_duplicate,,"db.satscores.find(
  {},
  { COUNT(DISTINCT T2.School): 1 }
)",Unable to extract MongoDB query from model output,False,False,Skipped Qwen evaluation: missing predicted or reference MongoDB query
"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.","Database: california_schools
Evidence: Magnet schools or offer a magnet program means that Magnet = 1",SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,{},False,,"db.satscores.find(
  {},
  { T2.School: 1 }
)",Unable to extract MongoDB query from model output,False,False,Skipped Qwen evaluation: missing predicted or reference MongoDB query
What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?,Database: california_schools,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,{},not_duplicate,,"db.satscores.find(
  {},
  { T2.Phone: 1 }
).sort({ ""T1.NumGE1500"": -1 }).limit(1)",Unable to extract MongoDB query from model output,False,False,Skipped Qwen evaluation: missing predicted or reference MongoDB query
What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?,Database: california_schools,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),{},not_duplicate,,"db.satscores.find(
  { cds: ""( SELECT CDSCode FROM frpm"" },
  { NumTstTakr: 1 }
).sort({ ""`FRPM"": 1 }).limit(1)",Unable to extract MongoDB query from model output,False,False,Skipped Qwen evaluation: missing predicted or reference MongoDB query
"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?",Database: california_schools,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',{},not_duplicate,,"db.satscores.find(
  {},
  { COUNT(T2.`School Code`): 1 }
)",Unable to extract MongoDB query from model output,False,False,Skipped Qwen evaluation: missing predicted or reference MongoDB query
