index,question,prompt,raw_output,predicted_sql,predicted_sql_valid,ground_truth,qwen_sql_correct,qwen_raw_response
0,What is the highest eligible free rate for K-12 students in the schools in Alameda County?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`

Question:
What is the highest eligible free rate for K-12 students in the schools in Alameda County?

SQL:","SELECT MAX(`Free Meal Count (K-12)` / `Enrollment (K-12)`)
FROM `california_schools`
WHERE `County` = 'Alameda'

Sample output:
0.0625

""""""",SELECT MAX(`Free Meal Count (K-12)` / `Enrollment (K-12)`) FROM `california_schools` WHERE `County` = 'Alameda',True,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['california_schools'], ground_truth=['frpm']"
1,Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`

Question:
Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.

SQL:","SELECT `School Name`, `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` AS `Eligible Free Rate`
FROM `california_schools`
WHERE `Enrollment (Ages 5-17)` > 0
ORDER BY `Eligible Free Rate` ASC
LIMIT 3;

Output:","SELECT `School Name`, `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` AS `Eligible Free Rate` FROM `california_schools` WHERE `Enrollment (Ages 5-17)` > 0 ORDER BY `Eligible Free Rate` ASC LIMIT 3;",True,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['california_schools'], ground_truth=['frpm']"
2,Please list the zip code of all the charter schools in Fresno County Office of Education.,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the table fprm

Question:
Please list the zip code of all the charter schools in Fresno County Office of Education.

SQL:","SELECT DISTINCT zip FROM fprm WHERE `Charter School (Y/N)` = 1 AND `County` = 'Fresno'

Output:",SELECT DISTINCT zip FROM fprm WHERE `Charter School (Y/N)` = 1 AND `County` = 'Fresno',True,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['fprm'], ground_truth=['frpm', 'schools']"
3,What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools

Question:
What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?

SQL:","SELECT mailing_street_address
FROM california_schools
WHERE mailing_street_address NOT LIKE '% %'
ORDER BY f_r_p_m DESC
LIMIT 1;

Output:",SELECT mailing_street_address FROM california_schools WHERE mailing_street_address NOT LIKE '% %' ORDER BY f_r_p_m DESC LIMIT 1;,True,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['california_schools'], ground_truth=['frpm', 'schools']"
4,Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the frpm

Question:
Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.

SQL:","SELECT phone_number
FROM california_schools
WHERE charter_school = 1 AND opened_date > '2000-01-01'

Output:",SELECT phone_number FROM california_schools WHERE charter_school = 1 AND opened_date > '2000-01-01',True,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['california_schools'], ground_truth=['frpm', 'schools']"
5,How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Exclusively virtual refers to Virtual = 'F'

Question:
How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?

SQL:","SELECT COUNT(*)
FROM california_schools
WHERE SAT_AVG_ALL > 400 AND Exclusively_Virtual = 'F'

Output:",SELECT COUNT(*) FROM california_schools WHERE SAT_AVG_ALL > 400 AND Exclusively_Virtual = 'F',True,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['california_schools'], ground_truth=['satscores', 'schools']"
6,"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.","Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Magnet schools or offer a magnet program means that Magnet = 1

Question:
Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.

SQL:","SELECT name, magnet
FROM schools
WHERE sat_over_500 = 1
AND magnet = 1
ORDER BY name;

Output:","SELECT name, magnet FROM schools WHERE sat_over_500 = 1 AND magnet = 1 ORDER BY name;",True,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,False,"{
  ""sql_correct"": false,
  ""reason"": ""The predicted SQL does not match the ground truth SQL. The predicted SQL uses different conditions for selecting schools with over 500 SAT test takers and offers a magnet program.""
}"
7,What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools

Question:
What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?

SQL:","SELECT phone_number
FROM schools
WHERE num_test_takers = (SELECT MAX(num_test_takers) FROM schools WHERE sat_score > 1500)

Output:",SELECT phone_number FROM schools WHERE num_test_takers = (SELECT MAX(num_test_takers) FROM schools WHERE sat_score > 1500),True,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,False,"{
  ""sql_correct"": false,
  ""reason"": ""The predicted SQL uses different tables and columns, while the ground truth SQL uses the same tables and columns.""
}"
8,What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools

Question:
What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?

SQL:","SELECT COUNT(sat_test_takers)
FROM schools
WHERE f_r_p_m = (SELECT MAX(f_r_p_m) FROM schools WHERE student_type = 'K-12');

Output:",SELECT COUNT(sat_test_takers) FROM schools WHERE f_r_p_m = (SELECT MAX(f_r_p_m) FROM schools WHERE student_type = 'K-12');,True,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['schools'], ground_truth=['frpm', 'satscores']"
9,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?","Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools

Question:
Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?

SQL:","SELECT COUNT(*)
FROM schools
WHERE average_score_math > 560 AND charter_flag = 'Y'

Output:",SELECT COUNT(*) FROM schools WHERE average_score_math > 560 AND charter_flag = 'Y',True,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['schools'], ground_truth=['frpm', 'satscores']"
