index,question,prompt,raw_output,predicted_sql,predicted_sql_valid,ground_truth,qwen_sql_correct,qwen_raw_response
0,What is the highest eligible free rate for K-12 students in the schools in Alameda County?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`

Question:
What is the highest eligible free rate for K-12 students in the schools in Alameda County?

SQL:","SELECT * FROM `california_schools`
WHERE `california_schools`.`name` = 'Eligible Free Rate for K-12'

Python:
import sql",SELECT * FROM `california_schools` WHERE `california_schools`.`name` = 'Eligible Free Rate for K-12',True,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['california_schools'], ground_truth=['frpm']"
1,Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`

Question:
Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.

SQL:","SELECT * FROM california_schools
WHERE (Free Meal Count (Ages 5-17) = `Free Meal Count (Ages 5-17)`)

Python:
import sql",SELECT * FROM california_schools WHERE (Free Meal Count (Ages 5-17) = `Free Meal Count (Ages 5-17)`),True,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['california_schools'], ground_truth=['frpm']"
2,Please list the zip code of all the charter schools in Fresno County Office of Education.,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the table fprm

Question:
Please list the zip code of all the charter schools in Fresno County Office of Education.

SQL:","SELECT * FROM fprm.charter_schools
WHERE fprm.zip_code = '5100'

Output:",SELECT * FROM fprm.charter_schools WHERE fprm.zip_code = '5100',True,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['charter_schools'], ground_truth=['frpm', 'schools']"
3,What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools

Question:
What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?

SQL:","SELECT
    school_id,
    school_name,
    school_address,
    school_city,
    school_state,
    school_zip,
    school_phone,
    school_fax,
    school_email,
    school_phone_2,
    school_phone_3,
    school_phone_4,
    school_phone_5,
    school_phone_6,
    school_phone_7,
    school_phone_8,
    school_phone_9,
    school_phone_10,
    school_phone_11,
    school_phone_12,
    school_phone_13,
    school_phone_14,
    school_phone_15,
    school_phone_16,
    school_phone_17,
    school_phone_18,
    school_phone_19,
    school_phone_20,
    school_phone_21,
    school_phone_22,
    school_phone_23,
    school_phone_24,
    school_phone_25,
    school_phone_26,",SELECT,False,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
4,Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Charter schools refers to `Charter School (Y/N)` = 1 in the frpm

Question:
Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.

SQL:","SELECT * FROM `california_schools`

Output:",SELECT * FROM `california_schools`,True,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['california_schools'], ground_truth=['frpm', 'schools']"
5,How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Exclusively virtual refers to Virtual = 'F'

Question:
How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?

SQL:","SELECT * FROM california_schools
WHERE (
    (SELECT COUNT(*) FROM california_schools WHERE (
        (SELECT COUNT(*) FROM california_schools WHERE (
            (SELECT COUNT(*) FROM california_schools WHERE (
                (SELECT COUNT(*) FROM california_schools WHERE (
                    (SELECT COUNT(*) FROM california_schools WHERE (
                        (SELECT COUNT(*) FROM california_schools WHERE (
                            (SELECT COUNT(*) FROM california_schools WHERE (
                                (SELECT COUNT(*) FROM california_schools WHERE (
                                    (SELECT COUNT(*) FROM california_schools WHERE (
                                        (SELECT COUNT(*) FROM california_schools WHERE (
                                            (SELECT COUNT(*) FROM california_schools WHERE (
                                                (SELECT COUNT(*) FROM california_schools WHERE (
                                                    (SELECT COUNT(*) FROM california_schools WHERE (",SELECT * FROM california_schools WHERE ( (SELECT COUNT(*) FROM california_schools WHERE ( (SELECT COUNT(*) FROM california_schools WHERE ( (SELECT COUNT(*) FROM california_schools WHERE ( (SELECT COUNT(*) FROM california_schools WHERE ( (SELECT COUNT(*) FROM california_schools WHERE ( (SELECT COUNT(*) FROM california_schools WHERE ( (SELECT COUNT(*) FROM california_schools WHERE ( (SELECT COUNT(*) FROM california_schools WHERE ( (SELECT COUNT(*) FROM california_schools WHERE ( (SELECT COUNT(*) FROM california_schools WHERE ( (SELECT COUNT(*) FROM california_schools WHERE ( (SELECT COUNT(*) FROM california_schools WHERE ( (SELECT COUNT(*) FROM california_schools WHERE (,False,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
6,"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.","Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools
Evidence: Magnet schools or offer a magnet program means that Magnet = 1

Question:
Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.

SQL:","SELECT * FROM california_schools
WHERE MAGNET = 1

Output:",SELECT * FROM california_schools WHERE MAGNET = 1,True,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['california_schools'], ground_truth=['satscores', 'schools']"
7,What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools

Question:
What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?

SQL:","SELECT * FROM california_schools
WHERE (SAT_score > 1500)

Output:",SELECT * FROM california_schools WHERE (SAT_score > 1500),True,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['california_schools'], ground_truth=['satscores', 'schools']"
8,What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools

Question:
What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?

SQL:","SELECT count(*) FROM california_schools

Output:",SELECT count(*) FROM california_schools,True,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['california_schools'], ground_truth=['frpm', 'satscores']"
9,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?","Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Database: california_schools

Question:
Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?

SQL:","SELECT school_id, school_name, school_score, school_average_score, school_average_score_count, school_average_score_count_count, school_average_score_count_count_count, school_average_score_count_count_count_count, school_average_score_count_count_count_count_count, school_average_score_count_count_count_count_count_count, school_average_score_count_count_count_count_count_count_count, school_average_score_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_","SELECT school_id, school_name, school_score, school_average_score, school_average_score_count, school_average_score_count_count, school_average_score_count_count_count, school_average_score_count_count_count_count, school_average_score_count_count_count_count_count, school_average_score_count_count_count_count_count_count, school_average_score_count_count_count_count_count_count_count, school_average_score_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_count_",False,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',False,Skipped Qwen evaluation: predicted SQL is empty or not a valid SELECT query
