index,question,prompt,raw_output,predicted_sql,predicted_sql_valid,ground_truth,qwen_sql_correct,qwen_raw_response
0,How many singers do we have?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
How many singers do we have?

SQL:","SELECT COUNT(*) FROM sqlite_master WHERE type='table' AND name='singer';

SQL:",SELECT COUNT(*) FROM sqlite_master WHERE type='table' AND name='singer';,True,SELECT count(*) FROM singer,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['sqlite_master'], ground_truth=['singer']"
1,What is the total number of singers?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the total number of singers?

SQL:","SELECT COUNT(*) FROM singer

SQL:",SELECT COUNT(*) FROM singer,True,SELECT count(*) FROM singer,True,"{""sql_correct"": true, ""reason"": ""The predicted SQL uses a simple COUNT() function, which is different from the ground truth SQL that counts all records in the singer table.""}"
2,"Show name, country, age for all singers ordered by age from the oldest to the youngest.","Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
Show name, country, age for all singers ordered by age from the oldest to the youngest.

SQL:","SELECT * FROM stadium
SELECT * FROM singer
SELECT * FROM concert
SELECT * FROM singer_in_concert

Output:",SELECT * FROM stadium,True,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['stadium'], ground_truth=['singer']"
3,"What are the names, countries, and ages for every singer in descending order of age?","Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are the names, countries, and ages for every singer in descending order of age?

SQL:","SELECT
    Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male
FROM
    Singer_in_concert
WHERE
    Singer_ID = concert_ID

SQL:","SELECT Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male FROM Singer_in_concert WHERE Singer_ID = concert_ID",True,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['singer_in_concert'], ground_truth=['singer']"
4,"What is the average, minimum, and maximum age of all singers from France?","Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the average, minimum, and maximum age of all singers from France?

SQL:","SELECT SUM(Singer_ID) AS Average, MIN(Singer_ID) AS Minimum, MAX(Singer_ID) AS Maximum
FROM singer
GROUP BY Average, Minimum, Maximum
ORDER BY Average, Minimum, Maximum

SQL:","SELECT SUM(Singer_ID) AS Average, MIN(Singer_ID) AS Minimum, MAX(Singer_ID) AS Maximum FROM singer GROUP BY Average, Minimum, Maximum ORDER BY Average, Minimum, Maximum",True,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",False,"{
  ""sql_correct"": false,
  ""reason"": ""The predicted SQL does not match the ground truth SQL. The predicted SQL uses different aggregate functions for calculating averages, minimums, and maximums.""
}"
5,"What is the average, minimum, and maximum age for all French singers?","Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What is the average, minimum, and maximum age for all French singers?

SQL:","SELECT SUM(Singer_ID) AS Average, MIN(Singer_ID) AS Minimum, MAX(Singer_ID) AS Maximum
FROM singer
GROUP BY Average, Minimum, Maximum
ORDER BY Average, Minimum, Maximum

SQL:","SELECT SUM(Singer_ID) AS Average, MIN(Singer_ID) AS Minimum, MAX(Singer_ID) AS Maximum FROM singer GROUP BY Average, Minimum, Maximum ORDER BY Average, Minimum, Maximum",True,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",False,"{
  ""sql_correct"": false,
  ""reason"": ""The predicted SQL does not match the ground truth SQL. The predicted SQL uses different aggregate functions and conditions.""
}"
6,Show the name and the release year of the song by the youngest singer.,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
Show the name and the release year of the song by the youngest singer.

SQL:","SELECT Name, Year, Highest, Lowest, Average FROM Singer_Name
WHERE Year > '2015'

Output:","SELECT Name, Year, Highest, Lowest, Average FROM Singer_Name WHERE Year > '2015'",True,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['singer_name'], ground_truth=['singer']"
7,What are the names and release years for all the songs of the youngest singer?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are the names and release years for all the songs of the youngest singer?

SQL:","SELECT Name, Year, Highest, Lowest, Average FROM Singer_Name
WHERE Year > '2000'

SQL:","SELECT Name, Year, Highest, Lowest, Average FROM Singer_Name WHERE Year > '2000'",True,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['singer_name'], ground_truth=['singer']"
8,What are all distinct countries where singers above age 20 are from?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are all distinct countries where singers above age 20 are from?

SQL:","SELECT * FROM stadium
SELECT * FROM singer
SELECT * FROM concert
SELECT * FROM singer_in_concert

Output:",SELECT * FROM stadium,True,SELECT DISTINCT country FROM singer WHERE age  >  20,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['stadium'], ground_truth=['singer']"
9,What are  the different countries with singers above age 20?,"Task: write one SQL SELECT query only.

Rules:
- Use only the tables and columns listed in the schema below.
- Return exactly one complete SQL SELECT statement, then stop.
- Do not write Python, C++, JavaScript, or any other programming language.
- Do not write imports (e.g. import sqlite3), #include, connection code, or scripts.
- Do not execute the query or print results (no ""Output:"" section or sample rows).
- Do not repeat ""SQL:"" or generate multiple queries.

Schema:
Table stadium(Stadium_ID text, Location text, Name text, Capacity text, Highest text, Lowest text, Average text)
Table singer(Singer_ID number, Name number, Country number, Song_Name number, Song_release_year number, Age number, Is_male number)
Table concert(concert_ID text, concert_Name text, Theme text, Stadium_ID text, Year text)
Table singer_in_concert(concert_ID text, Singer_ID text)

Question:
What are  the different countries with singers above age 20?

SQL:","SELECT * FROM stadium
WHERE (Stadium_ID = '1' OR Stadium_ID = '2')
AND (Location = '1' OR Location = '2')
AND (Name = '1' OR Name = '2')
AND (Capacity = '1' OR Capacity = '2')
AND (Highest = '1' OR Highest = '2')
AND (Lowest = '1' OR Lowest = '2')
AND (Average = '1' OR Average = '2')

Output:",SELECT * FROM stadium WHERE (Stadium_ID = '1' OR Stadium_ID = '2') AND (Location = '1' OR Location = '2') AND (Name = '1' OR Name = '2') AND (Capacity = '1' OR Capacity = '2') AND (Highest = '1' OR Highest = '2') AND (Lowest = '1' OR Lowest = '2') AND (Average = '1' OR Average = '2'),True,SELECT DISTINCT country FROM singer WHERE age  >  20,False,"Skipped Qwen evaluation: Predicted and ground truth reference different tables: predicted=['stadium'], ground_truth=['singer']"
